frame.number,frame.time_relative,eth.src,eth.dst,eth.type,ip.src,ip.dst,arp.src.hw_mac,arp.dst.hw_mac,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len,icmp.type,icmp.code,data,Label
"1","0.000000000",,,,"10.0.3.15","8.8.8.8",,,,,,,"100","8","0","da810e0000000000101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637",0
"2","0.032758789",,,,"8.8.8.8","10.0.3.15",,,,,,,"100","0","0","da810e0000000000101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637",0
"3","1.001952988",,,,"10.0.3.15","8.8.8.8",,,,,,,"100","8","0","83890e0000000000101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637",0
"4","1.024263308",,,,"8.8.8.8","10.0.3.15",,,,,,,"100","0","0","83890e0000000000101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637",0
"5","1.922748441",,,,,,"08:00:27:7a:78:e3","00:00:00:00:00:00",,,,,"62",,,,0
"6","1.932617864",,,,,,,,,,,,"92",,,,0
"7","1.955514947",,,,,,,,,,,,"92",,,,0
"8","2.007665671",,,,"10.0.3.15","8.8.8.8",,,,,,,"100","8","0","bc9f0e0000000000101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637",0
"9","2.032645698",,,,"8.8.8.8","10.0.3.15",,,,,,,"100","0","0","bc9f0e0000000000101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637",0
"10","2.452935828",,,,,,,,,,,,"88",,,,0
"11","3.009886036",,,,"10.0.3.15","8.8.8.8",,,,,,,"100","8","0","53a80e0000000000101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637",0
"12","3.032363062",,,,"8.8.8.8","10.0.3.15",,,,,,,"100","0","0","53a80e0000000000101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637",0
"13","3.486088005",,,,,,,,,,,,"92",,,,0
"14","3.496739816",,,,,,,,,,,,"92",,,,0
"15","3.694546412",,,,,,,,,,,,"64",,,,0
"16","3.922989571",,,,,,"08:00:27:7a:78:e3","00:00:00:00:00:00",,,,,"62",,,,0
"17","5.276947627",,,,,,"08:00:27:94:fa:f7","00:00:00:00:00:00",,,,,"44",,,,0
"18","5.277372846",,,,,,"52:54:00:12:35:02","08:00:27:94:fa:f7",,,,,"62",,,,0
